restaurant_id,description
243,this chines restaurant run by owner suil zhou has beautiful and elegant ambienc whic the chef is keen to introduc guests to the authentic culinary traditions of his homeland via
525,just few kilometres outsid the town and yet already open countrysid this typical local trattor offers simpl yet warm and friendly ambienc and excellent cuisin focused on regional
531,providing splash of modernity the florentin chiant region this restaurant is highly contemporary both its decor and its cuisin the latter availabl the form of tasting menus only
257,althoug it takes whil to reac this restaurant that first opened 1977 it is definitely worth the journey her an entir family second and third generations works together with passion
1083,this gourmet finedining restaurant the brainchild of the south african designer tristan du plessis has arrived the italian capital wher it’s overseen by chef alessandr pietropaol her
900,situated beautiful 18c palazz right the centr of bresc this elegant restaurant consists of several small dining rooms of different colours fabrics and furnishings yet with the
1929,slightly off the beaten track the lesserknown villag of scal oppos ravell this authentic family trattor offers an informal chang from the many michelinstarred luxury restaurants
1097,situated villag near gal this restaurant boasts charming small inner courtyard – you walk throug her into an idyllic outdoor dining spac next to the churc surrounded by trees and
914,situated next to the threemichelinstarred calandr and run by the sam family calandrin is an elegant and eclectic restaurant whic includes barcumpasticcer that is well worth
1901,having retained its old shop counter and glass fronted display cabinets this former grocer’s shop is perfect for anyon searc of old world charm however the cuisin is the real draw
1915,the castle’s 14c hunting lodg has been converted into showcas for tuscan produc with panoramic terrac overlooking the hills and glimpses of the surrounding countrysid from the guestrooms
928,conveniently situated quiet setting just behind via vittor venet gian is housed within the modern hotel w with whic it shares comfortabl cocktail bar and attract garden the
1040,the chef at this modern renovated restaurant at the end of the romantic boccad beac serves creativ cuisin that is the result of years of experimentation charming terrac overlooking the
1726,part of the florian maison hotel bucolic setting of rolling hills this larg elegant restaurant serves as backdrop for tasting menus from whic guests can choos dishes thre or mor à
1732,situated the historic centr of small villag between bresc and cremon the po valley this restaurant occupies period palazz with an interior full of history from the exposed beams
1054,nobuy boasts minimalist eleganc that is typical of japanes restaurants with brown tables dark wooden beams on the ceiling attract subdued lighting plus an illuminated win cabinet to
727,situated villag inland this restaurant serves som of the best fish dishes romagn the focus her is on classic recipes from the adriatic with no unnecessary frills or innovations
5,the nam of this elegant restaurant was inspired by its wooden ceiling surrounded by spruc decor dating from the 18c antiqu furnitur and paintings enjoy interesting traditional cuisin
1068,boasting an unusually beautiful setting within the salchet organic winery amid the rolling hills around montepulc this 13c farmhous has been converted into win estat that also includes
733,her wher the parm river once brok its banks you’ll find an attract trattor with pleasant dining rooms and excellent cuisin cooked over wood and herb fir one of the oldest culinary
874,situated at the top of steep slop fossombrone’s beautiful historic centr this oster takes guests back to the 1920s thanks to its romantic decor her having risen throug the culinary
1849,situated along the ss13 whic leads to nearby pordenon this restaurant has fresh busy feel at lunchtim the servic is quicker the menu smaller and the prices lower whil the evening
1691,favour with foodlovers this restaurant serves lighter meals at lunchtim whic are nonetheless carefully and imaginatively prepared don’t miss the orsoburger the evening the best
1685,under the porticoes of the evoc piazz cavour you can see the doubl entranc the door for the evening cocktail bar on the ground level while–hidden on the left–th is lift to the first
860,1895 luig lavazz opened her grocery stor wher he immediately began blending coffe 129 years later the plac hosts modern restaurant with superb kitchen run by chef who desp
